,Dates,SDGE,Date,year,month,day,hour,weekday,season,holiday,non_working
0,2014-01-01 00:00:00,2096.0,2014-01-01 00:00:00,2014,1,1,0,Wednesday,winter,1,1
1,2014-01-01 01:00:00,1986.0,2014-01-01 00:00:00,2014,1,1,1,Wednesday,winter,1,1
2,2014-01-01 02:00:00,1936.0,2014-01-01 00:00:00,2014,1,1,2,Wednesday,winter,1,1
3,2014-01-01 03:00:00,1896.0,2014-01-01 00:00:00,2014,1,1,3,Wednesday,winter,1,1
4,2014-01-01 04:00:00,1899.0,2014-01-01 00:00:00,2014,1,1,4,Wednesday,winter,1,1
5,2014-01-01 05:00:00,1922.0,2014-01-01 00:00:00,2014,1,1,5,Wednesday,winter,1,1
6,2014-01-01 06:00:00,2011.0,2014-01-01 00:00:00,2014,1,1,6,Wednesday,winter,1,1
7,2014-01-01 07:00:00,2055.0,2014-01-01 00:00:00,2014,1,1,7,Wednesday,winter,1,1
8,2014-01-01 08:00:00,2141.0,2014-01-01 00:00:00,2014,1,1,8,Wednesday,winter,1,1
9,2014-01-01 09:00:00,2250.0,2014-01-01 00:00:00,2014,1,1,9,Wednesday,winter,1,1
10,2014-01-01 10:00:00,2304.0,2014-01-01 00:00:00,2014,1,1,10,Wednesday,winter,1,1
11,2014-01-01 11:00:00,2301.0,2014-01-01 00:00:00,2014,1,1,11,Wednesday,winter,1,1
12,2014-01-01 12:00:00,2294.0,2014-01-01 00:00:00,2014,1,1,12,Wednesday,winter,1,1
13,2014-01-01 13:00:00,2262.0,2014-01-01 00:00:00,2014,1,1,13,Wednesday,winter,1,1
14,2014-01-01 14:00:00,2199.0,2014-01-01 00:00:00,2014,1,1,14,Wednesday,winter,1,1
15,2014-01-01 15:00:00,2210.0,2014-01-01 00:00:00,2014,1,1,15,Wednesday,winter,1,1
16,2014-01-01 16:00:00,2326.0,2014-01-01 00:00:00,2014,1,1,16,Wednesday,winter,1,1
17,2014-01-01 17:00:00,2724.0,2014-01-01 00:00:00,2014,1,1,17,Wednesday,winter,1,1
18,2014-01-01 18:00:00,2773.0,2014-01-01 00:00:00,2014,1,1,18,Wednesday,winter,1,1
19,2014-01-01 19:00:00,2716.0,2014-01-01 00:00:00,2014,1,1,19,Wednesday,winter,1,1
20,2014-01-01 20:00:00,2627.0,2014-01-01 00:00:00,2014,1,1,20,Wednesday,winter,1,1
21,2014-01-01 21:00:00,2471.0,2014-01-01 00:00:00,2014,1,1,21,Wednesday,winter,1,1
22,2014-01-01 22:00:00,2255.0,2014-01-01 00:00:00,2014,1,1,22,Wednesday,winter,1,1
23,2014-01-01 23:00:00,2041.0,2014-01-01 00:00:00,2014,1,1,23,Wednesday,winter,1,1
24,2014-01-02 00:00:00,1904.0,2014-01-02 00:00:00,2014,1,2,0,Thursday,winter,0,0
25,2014-01-02 01:00:00,1855.0,2014-01-02 00:00:00,2014,1,2,1,Thursday,winter,0,0
26,2014-01-02 02:00:00,1815.0,2014-01-02 00:00:00,2014,1,2,2,Thursday,winter,0,0
27,2014-01-02 03:00:00,1809.0,2014-01-02 00:00:00,2014,1,2,3,Thursday,winter,0,0
28,2014-01-02 04:00:00,1832.0,2014-01-02 00:00:00,2014,1,2,4,Thursday,winter,0,0
29,2014-01-02 05:00:00,1989.0,2014-01-02 00:00:00,2014,1,2,5,Thursday,winter,0,0
30,2014-01-02 06:00:00,2228.0,2014-01-02 00:00:00,2014,1,2,6,Thursday,winter,0,0
31,2014-01-02 07:00:00,2385.0,2014-01-02 00:00:00,2014,1,2,7,Thursday,winter,0,0
32,2014-01-02 08:00:00,2503.0,2014-01-02 00:00:00,2014,1,2,8,Thursday,winter,0,0
33,2014-01-02 09:00:00,2617.0,2014-01-02 00:00:00,2014,1,2,9,Thursday,winter,0,0
34,2014-01-02 10:00:00,2667.0,2014-01-02 00:00:00,2014,1,2,10,Thursday,winter,0,0
35,2014-01-02 11:00:00,2661.0,2014-01-02 00:00:00,2014,1,2,11,Thursday,winter,0,0
36,2014-01-02 12:00:00,2655.0,2014-01-02 00:00:00,2014,1,2,12,Thursday,winter,0,0
37,2014-01-02 13:00:00,2620.0,2014-01-02 00:00:00,2014,1,2,13,Thursday,winter,0,0
38,2014-01-02 14:00:00,2544.0,2014-01-02 00:00:00,2014,1,2,14,Thursday,winter,0,0
39,2014-01-02 15:00:00,2530.0,2014-01-02 00:00:00,2014,1,2,15,Thursday,winter,0,0
40,2014-01-02 16:00:00,2595.0,2014-01-02 00:00:00,2014,1,2,16,Thursday,winter,0,0
41,2014-01-02 17:00:00,2946.0,2014-01-02 00:00:00,2014,1,2,17,Thursday,winter,0,0
42,2014-01-02 18:00:00,2963.0,2014-01-02 00:00:00,2014,1,2,18,Thursday,winter,0,0
43,2014-01-02 19:00:00,2886.0,2014-01-02 00:00:00,2014,1,2,19,Thursday,winter,0,0
44,2014-01-02 20:00:00,2777.0,2014-01-02 00:00:00,2014,1,2,20,Thursday,winter,0,0
45,2014-01-02 21:00:00,2591.0,2014-01-02 00:00:00,2014,1,2,21,Thursday,winter,0,0
46,2014-01-02 22:00:00,2340.0,2014-01-02 00:00:00,2014,1,2,22,Thursday,winter,0,0
47,2014-01-02 23:00:00,2097.0,2014-01-02 00:00:00,2014,1,2,23,Thursday,winter,0,0
48,2014-01-03 00:00:00,1934.0,2014-01-03 00:00:00,2014,1,3,0,Friday,winter,0,0
49,2014-01-03 01:00:00,1879.0,2014-01-03 00:00:00,2014,1,3,1,Friday,winter,0,0
50,2014-01-03 02:00:00,1829.0,2014-01-03 00:00:00,2014,1,3,2,Friday,winter,0,0
51,2014-01-03 03:00:00,1819.0,2014-01-03 00:00:00,2014,1,3,3,Friday,winter,0,0
52,2014-01-03 04:00:00,1878.0,2014-01-03 00:00:00,2014,1,3,4,Friday,winter,0,0
53,2014-01-03 05:00:00,1993.0,2014-01-03 00:00:00,2014,1,3,5,Friday,winter,0,0
54,2014-01-03 06:00:00,2225.0,2014-01-03 00:00:00,2014,1,3,6,Friday,winter,0,0
55,2014-01-03 07:00:00,2385.0,2014-01-03 00:00:00,2014,1,3,7,Friday,winter,0,0
56,2014-01-03 08:00:00,2504.0,2014-01-03 00:00:00,2014,1,3,8,Friday,winter,0,0
57,2014-01-03 09:00:00,2605.0,2014-01-03 00:00:00,2014,1,3,9,Friday,winter,0,0
58,2014-01-03 10:00:00,2652.0,2014-01-03 00:00:00,2014,1,3,10,Friday,winter,0,0
59,2014-01-03 11:00:00,2646.0,2014-01-03 00:00:00,2014,1,3,11,Friday,winter,0,0
60,2014-01-03 12:00:00,2621.0,2014-01-03 00:00:00,2014,1,3,12,Friday,winter,0,0
61,2014-01-03 13:00:00,2595.0,2014-01-03 00:00:00,2014,1,3,13,Friday,winter,0,0
62,2014-01-03 14:00:00,2520.0,2014-01-03 00:00:00,2014,1,3,14,Friday,winter,0,0
63,2014-01-03 15:00:00,2485.0,2014-01-03 00:00:00,2014,1,3,15,Friday,winter,0,0
64,2014-01-03 16:00:00,2567.0,2014-01-03 00:00:00,2014,1,3,16,Friday,winter,0,0
65,2014-01-03 17:00:00,2906.0,2014-01-03 00:00:00,2014,1,3,17,Friday,winter,0,0
66,2014-01-03 18:00:00,2908.0,2014-01-03 00:00:00,2014,1,3,18,Friday,winter,0,0
67,2014-01-03 19:00:00,2818.0,2014-01-03 00:00:00,2014,1,3,19,Friday,winter,0,0
68,2014-01-03 20:00:00,2714.0,2014-01-03 00:00:00,2014,1,3,20,Friday,winter,0,0
69,2014-01-03 21:00:00,2555.0,2014-01-03 00:00:00,2014,1,3,21,Friday,winter,0,0
70,2014-01-03 22:00:00,2332.0,2014-01-03 00:00:00,2014,1,3,22,Friday,winter,0,0
71,2014-01-03 23:00:00,2096.0,2014-01-03 00:00:00,2014,1,3,23,Friday,winter,0,0
72,2014-01-04 00:00:00,1929.0,2014-01-04 00:00:00,2014,1,4,0,Saturday,winter,0,1
73,2014-01-04 01:00:00,1838.0,2014-01-04 00:00:00,2014,1,4,1,Saturday,winter,0,1
74,2014-01-04 02:00:00,1763.0,2014-01-04 00:00:00,2014,1,4,2,Saturday,winter,0,1
75,2014-01-04 03:00:00,1766.0,2014-01-04 00:00:00,2014,1,4,3,Saturday,winter,0,1
76,2014-01-04 04:00:00,1796.0,2014-01-04 00:00:00,2014,1,4,4,Saturday,winter,0,1
77,2014-01-04 05:00:00,1831.0,2014-01-04 00:00:00,2014,1,4,5,Saturday,winter,0,1
